domain units: Hz
measurement data type: Positive<double>
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (Hz): [0, 512.25)
support bounds (Hz): [20, 512)support indexes: [80, 2048)
---------------
domainValue measuredValue
0 1
0.25 1
0.5 1
0.75 1
1 1
1.25 1
1.5 1
1.75 1
2 1
2.25 1
2.5 1
2.75 1
3 1
3.25 1
3.5 1
3.75 1
4 1
4.25 1
4.5 1
4.75 1
5 1
5.25 1
5.5 1
5.75 1
6 1
6.25 1
6.5 1
6.75 1
7 1
7.25 1
7.5 1
7.75 1
8 1
8.25 1
8.5 1
8.75 1
9 1
9.25 1
9.5 1
9.75 1
10 1
10.25 1
10.5 1
10.75 1
11 1
11.25 1
11.5 1
11.75 1
12 1
12.25 1
12.5 1
12.75 1
13 1
13.25 1
13.5 1
13.75 1
14 1
14.25 1
14.5 1
14.75 1
15 1
15.25 1
15.5 1
15.75 1
16 1
16.25 1
16.5 1
16.75 1
17 1
17.25 1
17.5 1
17.75 1
18 1
18.25 1
18.5 1
18.75 1
19 1
19.25 1
19.5 1
19.75 1
20 1.06218e-44
20.25 9.448075e-45
20.5 8.401907500000001e-45
20.75 7.480935e-45
21 6.664743749999999e-45
21.25 5.946578750000001e-45
21.5 5.30602625e-45
21.75 4.7427975e-45
22 4.2425075e-45
22.25 3.798506250000001e-45
22.5 3.40398625e-45
22.75 3.05659375e-45
23 2.74721125e-45
23.25 2.47253125e-45
23.5 2.2295875e-45
23.75 2.01266625e-45
24 1.8193175e-45
24.25 1.6464175e-45
24.5 1.49211125e-45
24.75 1.3546225e-45
25 1.2307225e-45
25.25 1.120105e-45
25.5 1.02162375e-45
25.75 9.333625000000001e-46
26 8.53923e-46
26.25 7.82698e-46
26.5 7.185360000000001e-46
26.75 6.608700000000001e-46
27 6.088127499999999e-46
27.25 5.6178675e-46
27.5 5.19049125e-46
27.75 4.8051675e-46
28 4.455535e-46
28.25 4.138522499999999e-46
28.5 3.85060375e-46
28.75 3.588865e-46
29 3.35223e-46
29.25 3.13434625e-46
29.5 2.935905e-46
29.75 2.75536625e-46
30 2.58902875e-46
30.25 2.43845875e-46
30.5 2.29901875e-46
30.75 2.17161875e-46
31 2.0547975e-46
31.25 1.94751375e-46
31.5 1.84793875e-46
31.75 1.75660625e-46
32 1.671985e-46
32.25 1.59429375e-46
32.5 1.52198375e-46
32.75 1.45481e-46
33 1.39356e-46
33.25 1.33660625e-46
33.5 1.2836075e-46
33.75 1.234205e-46
34 1.18831125e-46
34.25 1.1458825e-46
34.5 1.106105e-46
34.75 1.06904875e-46
35 1.03439875e-46
35.25 1.0022775e-46
35.5 9.7202875e-47
35.75 9.4397625e-47
36 9.1779625e-47
36.25 8.9357625e-47
36.5 8.70578625e-47
36.75 8.491139999999999e-47
37 8.290257499999999e-47
37.25 8.1035675e-47
37.5 7.930991249999999e-47
37.75 7.76755e-47
38 7.618476250000001e-47
38.25 7.476612499999999e-47
38.5 7.34391e-47
38.75 7.2210425e-47
39 7.10738875e-47
39.25 6.99853875e-47
39.5 6.898500000000001e-47
