domain units: Hz
measurement data type: std::complex<double>
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (Hz): [0, 512.25)
support bounds (Hz): [20, 512)support indexes: [80, 2048)
---------------
domainValue measuredValue
0 (0,0)
0.25 (0,0)
0.5 (0,0)
0.75 (0,0)
1 (0,0)
1.25 (0,0)
1.5 (0,0)
1.75 (0,0)
2 (0,0)
2.25 (0,0)
2.5 (0,0)
2.75 (0,0)
3 (0,0)
3.25 (0,0)
3.5 (0,0)
3.75 (0,0)
4 (0,0)
4.25 (0,0)
4.5 (0,0)
4.75 (0,0)
5 (0,0)
5.25 (0,0)
5.5 (0,0)
5.75 (0,0)
6 (0,0)
6.25 (0,0)
6.5 (0,0)
6.75 (0,0)
7 (0,0)
7.25 (0,0)
7.5 (0,0)
7.75 (0,0)
8 (0,0)
8.25 (0,0)
8.5 (0,0)
8.75 (0,0)
9 (0,0)
9.25 (0,0)
9.5 (0,0)
9.75 (0,0)
10 (0,0)
10.25 (0,0)
10.5 (0,0)
10.75 (0,0)
11 (0,0)
11.25 (0,0)
11.5 (0,0)
11.75 (0,0)
12 (0,0)
12.25 (0,0)
12.5 (0,0)
12.75 (0,0)
13 (0,0)
13.25 (0,0)
13.5 (0,0)
13.75 (0,0)
14 (0,0)
14.25 (0,0)
14.5 (0,0)
14.75 (0,0)
15 (0,0)
15.25 (0,0)
15.5 (0,0)
15.75 (0,0)
16 (0,0)
16.25 (0,0)
16.5 (0,0)
16.75 (0,0)
17 (0,0)
17.25 (0,0)
17.5 (0,0)
17.75 (0,0)
18 (0,0)
18.25 (0,0)
18.5 (0,0)
18.75 (0,0)
19 (0,0)
19.25 (0,0)
19.5 (0,0)
19.75 (0,0)
20 (0.1012602196528378,-0.1440055040069309)
20.25 (0.1935679332459688,-0.009015645802665824)
20.5 (0.3883044357851384,-0.3877489269525618)
20.75 (0.5335573310237794,-2.278780472426384)
21 (-0.5432750089743374,0.1176645751441068)
21.25 (-0.588402191615139,-0.00217708944563305)
21.5 (-1.616544952133418,0.5675100721433364)
21.75 (1.719112168568478,0.784037603459237)
22 (1.576776373572718,0.3067680078624839)
22.25 (1.6965364826088,1.711406058860708)
22.5 (-0.4224718229518427,0.8743211406490442)
22.75 (-0.9558386318026745,-1.088222186315223)
23 (-0.5892076237383213,0.980375844479383)
23.25 (-0.9720050487290252,-1.027946973743228)
23.5 (-1.923164276385159,-0.4189328972268268)
23.75 (0.9765228285714799,-1.501301040642598)
24 (0.8145479782030248,-0.258655697745944)
24.25 (0.4338989250225634,0.7858923626725438)
24.5 (-2.056706692529861,-1.411630765372596)
24.75 (-0.6305810291412304,0.5337801465738355)
25 (0.3792420619748111,0.8143390382033655)
25.25 (0.8700309714155433,-0.4293023129796614)
25.5 (-0.07751484674681755,0.6337289516756573)
25.75 (0.4749626662348059,1.334996516664925)
26 (-0.2893315664477313,-0.5918637892192307)
26.25 (1.263177328514413,-0.5093179880897717)
26.5 (-1.346345325802172,0.09691127724119863)
26.75 (0.9661419780707622,0.9685666898954387)
27 (-1.43121903360158,-2.121007496366685)
27.25 (0.3126511109426047,0.4633726484838734)
27.5 (0.6811257896625575,-0.2059061893402155)
27.75 (0.7268180710578651,1.089890766748896)
28 (-0.9463489628748282,-0.4118666488583048)
28.25 (1.043960834391266,-1.36245100948267)
28.5 (0.4001713450456508,0.7848374164735481)
28.75 (0.01692789894492334,0.432867683984513)
29 (-0.04192047151541418,-0.4510537569995343)
29.25 (-1.206970756066841,-1.174147712998187)
29.5 (-0.6737614843569699,0.7059610212792757)
29.75 (-0.04268929232171603,0.5634427884567031)
30 (-1.075386030632039,0.2530979336828142)
30.25 (1.755935017606034,-0.1186202428299888)
30.5 (0.1701273321848303,0.5330871639663725)
30.75 (-0.1713724033679702,0.6535657052478124)
31 (0.1632859878212428,-1.227397455087228)
31.25 (-0.6174301810893483,-0.07360962234104398)
31.5 (1.703705164127835,0.973123973797184)
31.75 (-0.7993515327791647,-1.440216956413295)
32 (1.550532155553242,0.1153306177893946)
32.25 (-1.466938964040941,0.01672692489535418)
32.5 (-0.5304618048329044,0.6305699486784103)
32.75 (-0.936862046220079,0.4120975169518625)
33 (0.9810794910634038,-0.04834600062914952)
33.25 (-1.617453187605885,0.6342116831833799)
33.5 (2.243464084554727,-0.1907251966223616)
33.75 (-0.05534971020443678,1.905751224231971)
34 (0.2240137902181744,-1.764957512283928)
34.25 (-0.9039057921513337,-0.3132921608958781)
34.5 (-0.9328604215512519,-0.9091651134496758)
34.75 (1.071965568244504,-0.4609517420274311)
35 (-1.406422714413895,-0.3160904715971134)
35.25 (-0.6400365646161083,0.02603849682162062)
35.5 (1.535212972360704,0.3137666264774834)
35.75 (-0.5285900427694205,0.252248111817625)
36 (1.400010935737891,1.394376674619547)
36.25 (-1.551761292711032,0.7493430959412337)
36.5 (-0.2697714025061956,0.72370452283561)
36.75 (0.6141176106775342,-0.2264191054832002)
37 (0.4026283435240972,0.2589115985213927)
37.25 (-0.5392826456422224,-1.746332907310916)
37.5 (2.761380321799379,-1.03997209272798)
