# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-1.818440219043101960e-03 -1.524219641544832717e-03 -1.163946906154811464e-03 -7.291156968850466460e-04 -3.032187398297768780e-05
-1.858307541848594870e-03 -1.523701823138016217e-03 -1.233939355824671897e-03 -8.153889534794373384e-04 -9.740119506237811318e-05
-1.855000315885934909e-03 -1.546302809326147599e-03 -1.260306834390209369e-03 -9.203305693878350777e-04 -8.252021057264726661e-05
-1.883415103932910718e-03 -1.559796228678581292e-03 -1.295132821550173865e-03 -9.268979026057252817e-04 -9.824954613564076717e-05
-1.929592864606025169e-03 -1.574636037574248968e-03 -1.324208271386633547e-03 -9.370967907210599190e-04 5.931799090082257134e-05
-1.936332606089128348e-03 -1.588966305255321270e-03 -1.339997096920862718e-03 -8.797647753762711121e-04 2.596016319511830982e-04
-1.930357064129573563e-03 -1.611308156168044306e-03 -1.350787427305361879e-03 -8.247424187845988491e-04 3.584466526043664919e-04
-1.943751438218686454e-03 -1.614750024576501724e-03 -1.346820652287507303e-03 -6.886914965332699683e-04 4.953374938115069756e-04
-1.895871731890088393e-03 -1.592070860639962842e-03 -1.342122182223810540e-03 -5.566281164977320180e-04 5.899586613083324408e-04
-1.896254515244126439e-03 -1.590155442530937239e-03 -1.255414337312223344e-03 -3.680232223330482766e-04 7.192262620247347020e-04
-1.884902172273394700e-03 -1.563227666741537564e-03 -1.152247395901959993e-03 -2.258137191484185238e-04 8.696602745294951297e-04
-1.826949049207005895e-03 -1.501807513560221444e-03 -1.055752123189072954e-03 -2.488433773758312703e-05 9.866531106467759087e-04
-1.805937834112391867e-03 -1.420937944410809693e-03 -9.007435265672647995e-04 9.358557597517875822e-05 1.170960834814693905e-03
-1.760891495026839504e-03 -1.283330743321925123e-03 -7.588145294155554648e-04 2.993829178155854153e-04 1.299540841804154665e-03
-1.690974212808990301e-03 -1.178589342846118968e-03 -6.109773267688547744e-04 5.040736754359224263e-04 1.408155161754359383e-03
-1.588505123093572483e-03 -1.053727495861978176e-03 -4.697167536732909992e-04 6.967023209480721537e-04 1.555360295764144068e-03
-1.489568256280497400e-03 -9.103353131414383074e-04 -2.544013497060293449e-04 8.224268592705949064e-04 1.612499162683178004e-03
-1.431906919354043999e-03 -7.570306266515048916e-04 -5.703350699774529435e-05 9.732785281503250705e-04 1.728347141900795671e-03
-1.271742223846751866e-03 -5.749576960921464527e-04 1.500761111229832290e-04 1.046647824360664308e-03 1.769409482433210567e-03
-1.274405122661138564e-03 -3.794643455536504564e-04 3.177316802074506654e-04 1.144689418149171054e-03 1.777548250199433759e-03
-1.098877712639876420e-03 -1.837918374457399675e-04 5.100806331625980846e-04 1.238210861702979159e-03 1.889523248766777517e-03
-8.998036523420253592e-04 4.388318838513773003e-05 7.125341191677443762e-04 1.288772749169595595e-03 1.931371144930630951e-03
-6.775719268284459895e-04 2.269389675697479163e-04 8.353689452776175356e-04 1.361984517485483395e-03 1.941612047664371043e-03
-4.375916716888018335e-04 4.168917369415200318e-04 9.477700721118931856e-04 1.394848694755063123e-03 1.943577579645172073e-03
-2.209487084821880635e-04 5.427970840646719180e-04 1.029418812368859074e-03 1.480983000303246096e-03 1.929680362554234922e-03
-4.009800980665792166e-05 6.544359726129683318e-04 1.127816716404306772e-03 1.518992725493149539e-03 1.855576285171873802e-03
1.054769091178709952e-04 7.727519973765505047e-04 1.191508176093745031e-03 1.546382481696614245e-03 1.857410337700774123e-03
1.683226883291038308e-04 8.494866180424651787e-04 1.257959481895048505e-03 1.553482642405145699e-03 1.871406230550863060e-03
1.590195267722380700e-04 9.244458022363790826e-04 1.260049528296346621e-03 1.557653605784383583e-03 1.889779896385177307e-03
1.096232844562465255e-04 9.145182116475284026e-04 1.304310868588921422e-03 1.566750218938878095e-03 1.894115234015816742e-03
-6.185364019473540509e-05 9.267564812679030678e-04 1.328777144351470183e-03 1.585578787528426833e-03 1.925615535496481455e-03
-2.629706288476806996e-04 8.401403556758626394e-04 1.331662383847134583e-03 1.588753191614884373e-03 1.930217001361395285e-03
-3.703169796667087413e-04 7.779400060687489873e-04 1.339315426046181617e-03 1.602268614310279737e-03 1.925438575506003983e-03
-4.624980972140880597e-04 6.358137926886477326e-04 1.340160048651818214e-03 1.609217517881848108e-03 1.920041473283972278e-03
-6.556730470225699287e-04 4.527208479997401865e-04 1.314916757894715044e-03 1.582908558140669157e-03 1.897073521826781210e-03
-7.432811956111557870e-04 3.663749853855835536e-04 1.209230871347897855e-03 1.568592188231380949e-03 1.881866224128381270e-03
-8.558721844192503049e-04 1.817115286609419906e-04 1.133700549650475814e-03 1.533151163080543602e-03 1.865611486565762816e-03
-1.037154221472949339e-03 8.727348745841266738e-06 9.826837575751135728e-04 1.485026446388596193e-03 1.825299444337571140e-03
-1.222515185620232049e-03 -1.488659417230930393e-04 8.673346536656151122e-04 1.388057543060655088e-03 1.776014957828247077e-03
-1.293248552622843633e-03 -3.467003458974408686e-04 7.208211434541744993e-04 1.277912724491103800e-03 1.737920042717332929e-03
-1.480476709782522354e-03 -5.609686930735593860e-04 5.624872169132673740e-04 1.150873307415467388e-03 1.643562087313798440e-03
-1.541128277467567051e-03 -7.257858937052003977e-04 4.029267574229754246e-04 9.976290918458485119e-04 1.558958942643867305e-03
-1.709885706452484366e-03 -8.539387494727057343e-04 2.113256457232959599e-04 8.678680207660509262e-04 1.475265851450975824e-03
-1.763739680856375031e-03 -1.007557246061800997e-03 2.221210887928176385e-05 7.266942163200689050e-04 1.400238433268423789e-03
-1.817347372942777111e-03 -1.108269469107713880e-03 -1.986249359821366052e-04 5.348045801144251906e-04 1.301238177874694708e-03
-1.788629093364242466e-03 -1.184253501420652957e-03 -3.457341353790692223e-04 3.345355726339148492e-04 1.225467869293609150e-03
-1.841329775667940524e-03 -1.257267687980722368e-03 -5.558107415051320417e-04 1.060745223600701711e-04 1.060296385778998875e-03
-1.930482815199476791e-03 -1.283235394711083888e-03 -7.374541734719707465e-04 -7.025047465772913703e-05 8.523618188607609298e-04
-1.911906068748040356e-03 -1.339937879750462395e-03 -8.693229997915902924e-04 -2.577757398928966432e-04 6.237891779767157493e-04
-1.907466570395484990e-03 -1.392203762714645625e-03 -9.489388169275805689e-04 -4.511559302686605653e-04 4.070804702102723423e-04
-1.887612219222622361e-03 -1.448599716953216914e-03 -1.045353716584487228e-03 -5.666401781285938886e-04 2.026226168257621381e-04
-1.823284373096177753e-03 -1.504306564417300833e-03 -1.131943066843290290e-03 -6.909601311247859541e-04 1.945075967635652466e-05
-1.884514373032908060e-03 -1.529936847056785794e-03 -1.186580714387867885e-03 -7.679419318655199278e-04 -7.915890116316544203e-05
-1.858287675254636194e-03 -1.548953408980558886e-03 -1.243960372086507556e-03 -8.579092245511669556e-04 -1.388513570080436273e-04
-1.882109336999850200e-03 -1.558696622202511775e-03 -1.269055477743677137e-03 -9.190143657864869361e-04 -1.205691158380995466e-04
-1.916468283528782431e-03 -1.590986704459731614e-03 -1.311462065779952883e-03 -9.207884738912886988e-04 -3.992237913447418333e-05
-1.933933940998342925e-03 -1.590178745328998857e-03 -1.323097104316985247e-03 -9.278609588662231535e-04 1.170261724595976017e-04
-1.933944057992831181e-03 -1.614300728549849509e-03 -1.332412807438341715e-03 -8.807599532529567692e-04 2.876380175020064084e-04
-1.934752501856936953e-03 -1.631944363076195600e-03 -1.366149238754695797e-03 -7.747012860279733687e-04 2.988904368019690587e-04
-1.924672293039693524e-03 -1.631779206636362837e-03 -1.365081939222338768e-03 -6.322708321739615653e-04 5.726907929322129932e-04
