domain units: Hz
measurement data type: Positive<double>
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (Hz): [0, 512.25)
support bounds (Hz): [20, 512)support indexes: [80, 2048)
---------------
domainValue measuredValue
0 1
0.25 1
0.5 1
0.75 1
1 1
1.25 1
1.5 1
1.75 1
2 1
2.25 1
2.5 1
2.75 1
3 1
3.25 1
3.5 1
3.75 1
4 1
4.25 1
4.5 1
4.75 1
5 1
5.25 1
5.5 1
5.75 1
6 1
6.25 1
6.5 1
6.75 1
7 1
7.25 1
7.5 1
7.75 1
8 1
8.25 1
8.5 1
8.75 1
9 1
9.25 1
9.5 1
9.75 1
10 1
10.25 1
10.5 1
10.75 1
11 1
11.25 1
11.5 1
11.75 1
12 1
12.25 1
12.5 1
12.75 1
13 1
13.25 1
13.5 1
13.75 1
14 1
14.25 1
14.5 1
14.75 1
15 1
15.25 1
15.5 1
15.75 1
16 1
16.25 1
16.5 1
16.75 1
17 1
17.25 1
17.5 1
17.75 1
18 1
18.25 1
18.5 1
18.75 1
19 1
19.25 1
19.5 1
19.75 1
20 1.0798725e-42
20.25 9.891962499999999e-43
20.5 8.818512499999999e-43
20.75 7.676777500000001e-43
21 6.54646125e-43
21.25 5.47889125e-43
21.5 4.51019625e-43
21.75 3.655785000000001e-43
22 2.92602625e-43
22.25 2.318225e-43
22.5 1.8271575e-43
22.75 1.43087875e-43
23 1.1194225e-43
23.25 8.721475e-44
23.5 6.8083925e-44
23.75 5.3337725e-44
24 4.21127875e-44
24.25 3.3572175e-44
24.5 2.70494875e-44
24.75 2.20257625e-44
25 1.807785e-44
25.25 1.49863e-44
25.5 1.2510225e-44
25.75 1.05324625e-44
26 8.925087499999999e-45
26.25 7.621337500000001e-45
26.5 6.55773125e-45
26.75 5.68024625e-45
27 4.94741625e-45
27.25 4.3375325e-45
27.5 3.8246775e-45
27.75 3.38961875e-45
28 3.0230025e-45
28.25 2.710505e-45
28.5 2.441495e-45
28.75 2.2098475e-45
29 2.009875e-45
29.25 1.83607375e-45
29.5 1.68343875e-45
29.75 1.549485e-45
30 1.43072125e-45
30.25 1.32398e-45
30.5 1.22733625e-45
30.75 1.13990625e-45
31 1.06231125e-45
31.25 9.9115625e-46
31.5 9.266337499999999e-46
31.75 8.6914275e-46
32 8.16206125e-46
32.25 7.67725875e-46
32.5 7.227832499999999e-46
32.75 6.81676625e-46
33 6.4389675e-46
33.25 6.08470625e-46
33.5 5.7601425e-46
33.75 5.45381375e-46
34 5.17040125e-46
34.25 4.9078225e-46
34.5 4.6613525e-46
34.75 4.432085e-46
35 4.21624e-46
35.25 4.0153925e-46
35.5 3.82601625e-46
35.75 3.64821625e-46
36 3.48215875e-46
36.25 3.326645e-46
36.5 3.179645e-46
36.75 3.041115e-46
37 2.91092375e-46
37.25 2.7882575e-46
37.5 2.67274e-46
37.75 2.56515e-46
38 2.462705e-46
38.25 2.36690125e-46
38.5 2.27649625e-46
38.75 2.19167375e-46
39 2.11222375e-46
39.25 2.03690375e-46
39.5 1.96693875e-46
39.75 1.90012375e-46
