domain units: Hz
measurement data type: Positive<double>
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (Hz): [0, 512.25)
support bounds (Hz): [20, 512)support indexes: [80, 2048)
---------------
domainValue measuredValue
0 1
0.25 1
0.5 1
0.75 1
1 1
1.25 1
1.5 1
1.75 1
2 1
2.25 1
2.5 1
2.75 1
3 1
3.25 1
3.5 1
3.75 1
4 1
4.25 1
4.5 1
4.75 1
5 1
5.25 1
5.5 1
5.75 1
6 1
6.25 1
6.5 1
6.75 1
7 1
7.25 1
7.5 1
7.75 1
8 1
8.25 1
8.5 1
8.75 1
9 1
9.25 1
9.5 1
9.75 1
10 1
10.25 1
10.5 1
10.75 1
11 1
11.25 1
11.5 1
11.75 1
12 1
12.25 1
12.5 1
12.75 1
13 1
13.25 1
13.5 1
13.75 1
14 1
14.25 1
14.5 1
14.75 1
15 1
15.25 1
15.5 1
15.75 1
16 1
16.25 1
16.5 1
16.75 1
17 1
17.25 1
17.5 1
17.75 1
18 1
18.25 1
18.5 1
18.75 1
19 1
19.25 1
19.5 1
19.75 1
20 1.3974975e-43
20.25 1.178835e-43
20.5 9.661837499999999e-44
20.75 7.728455e-44
21 6.0506775e-44
21.25 4.64963625e-44
21.5 3.51948625e-44
21.75 2.63094125e-44
22 1.9495525e-44
22.25 1.44207875e-44
22.5 1.06567125e-44
22.75 7.89586875e-45
23 5.8866325e-45
23.25 4.41569625e-45
23.5 3.36184625e-45
23.75 2.59805875e-45
24 2.05547125e-45
24.25 1.65557875e-45
24.5 1.36588375e-45
24.75 1.149505e-45
25 9.849175000000001e-46
25.25 8.58983125e-46
25.5 7.62523125e-46
25.75 6.86912625e-46
26 6.268605e-46
26.25 5.78293625e-46
26.5 5.392765e-46
26.75 5.07562125e-46
27 4.81319125e-46
27.25 4.59213125e-46
27.5 4.40125e-46
27.75 4.23143e-46
28 4.07589e-46
28.25 3.927944999999999e-46
28.5 3.78585375e-46
28.75 3.65206625e-46
29 3.52499875e-46
29.25 3.4033125e-46
29.5 3.28671875e-46
29.75 3.174605e-46
30 3.0680825e-46
30.25 2.96643375e-46
30.5 2.8693525e-46
30.75 2.775955e-46
31 2.68779875e-46
31.25 2.60365875e-46
31.5 2.52237125e-46
31.75 2.4449075e-46
32 2.37083875e-46
32.25 2.2995875e-46
32.5 2.2312675e-46
32.75 2.16545875e-46
33 2.1026775e-46
33.25 2.0420225e-46
33.5 1.9839225e-46
33.75 1.9283075e-46
34 1.87492375e-46
34.25 1.8234825e-46
34.5 1.7745525e-46
34.75 1.72734625e-46
35 1.68147875e-46
35.25 1.6375975e-46
35.5 1.5953175e-46
35.75 1.55479625e-46
36 1.51589375e-46
36.25 1.478295e-46
36.5 1.4421925e-46
36.75 1.4074025e-46
37 1.3740125e-46
37.25 1.3417075e-46
37.5 1.31042625e-46
37.75 1.28067625e-46
38 1.25197625e-46
38.25 1.22411625e-46
38.5 1.19704375e-46
38.75 1.171205e-46
39 1.14592625e-46
39.25 1.12203875e-46
39.5 1.09893875e-46
39.75 1.07653e-46
