domain units: sec
measurement data type: double
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (sec): [0, 4)
support bounds (sec): [0, 4)support indexes: [0, 4096)
---------------
domainValue measuredValue
0 -3.76158192263132e-37
0.0009765625 1.034759412848359e-25
0.001953125 3.900493511369688e-25
0.0029296875 8.313542909732027e-25
0.00390625 1.424208121944209e-24
0.0048828125 1.996549705481396e-24
0.005859375 2.518011327404425e-24
0.0068359375 2.873221565403562e-24
0.0078125 2.979807357561034e-24
0.0087890625 2.618106600376997e-24
0.009765625 1.770614421941703e-24
0.0107421875 7.586153036716866e-25
0.01171875 -1.268070734827443e-24
0.0126953125 -3.567753689734761e-24
0.013671875 -6.274521512423291e-24
0.0146484375 -1.045796685262044e-23
0.015625 -1.5101006743175e-23
0.0166015625 -1.986284039989418e-23
0.017578125 -2.526977251992301e-23
0.0185546875 -3.165019519595076e-23
0.01953125 -3.775735921680814e-23
0.0205078125 -4.269334015197695e-23
0.021484375 -4.838772371889986e-23
0.0224609375 -5.587613019706746e-23
0.0234375 -6.022431405593401e-23
0.0244140625 -6.386432012566955e-23
0.025390625 -6.726928020118326e-23
0.0263671875 -6.648346137672384e-23
0.02734375 -6.487028888332342e-23
0.0283203125 -5.966171314637492e-23
0.029296875 -5.5439449293655e-23
0.0302734375 -4.8474721992331e-23
0.03125 -3.583540549638625e-23
0.0322265625 -2.645731937295333e-23
0.033203125 -1.228290804789852e-23
0.0341796875 6.58334557068152e-24
0.03515625 2.36069540581493e-23
0.0361328125 4.219112383983505e-23
0.037109375 6.448697403523137e-23
0.0380859375 8.705049876973866e-23
0.0390625 1.064040483685444e-22
0.0400390625 1.278420462681207e-22
0.041015625 1.564796673246459e-22
0.0419921875 1.754094456013995e-22
0.04296875 1.895393872801445e-22
0.0439453125 2.066406358108403e-22
0.044921875 2.159619748029397e-22
0.0458984375 2.247873926870742e-22
0.046875 2.234831042278154e-22
0.0478515625 2.263226139299333e-22
0.048828125 2.168067314406327e-22
0.0498046875 2.021559685116906e-22
0.05078125 2.010162755868991e-22
0.0517578125 1.665629709831659e-22
0.052734375 1.338677877668044e-22
0.0537109375 1.039649684016005e-22
0.0546875 7.096226739900171e-23
0.0556640625 2.893562599906837e-23
0.056640625 -1.832651326598624e-23
0.0576171875 -5.923658114719685e-23
0.05859375 -1.218720628999668e-22
0.0595703125 -1.541317204065305e-22
0.060546875 -2.079350418742478e-22
0.0615234375 -2.612651304973906e-22
0.0625 -2.918096890536793e-22
0.0634765625 -3.403181876694012e-22
0.064453125 -3.676832758603428e-22
0.0654296875 -4.206196365669386e-22
0.06640625 -4.341311417118662e-22
0.0673828125 -4.393715385865228e-22
0.068359375 -4.697568872948572e-22
0.0693359375 -4.537042577955535e-22
0.0703125 -4.441028642821767e-22
0.0712890625 -4.327974738375502e-22
0.072265625 -3.996215367702623e-22
0.0732421875 -3.585260599016873e-22
0.07421875 -3.277848543786137e-22
0.0751953125 -2.762410707067441e-22
0.076171875 -2.070520874831645e-22
0.0771484375 -1.34803121510646e-22
0.078125 -6.346352166641113e-23
0.0791015625 6.318762472032725e-24
0.080078125 1.068420723541378e-22
0.0810546875 1.737528485616602e-22
0.08203125 2.401834673957797e-22
0.0830078125 3.493955890807386e-22
0.083984375 4.383499069379046e-22
0.0849609375 4.815442682898679e-22
0.0859375 5.534625752288163e-22
0.0869140625 6.436032849540848e-22
0.087890625 6.827039929075087e-22
0.0888671875 7.002997499723438e-22
0.08984375 7.202885478240284e-22
0.0908203125 7.601470137572203e-22
0.091796875 7.147243349151608e-22
0.0927734375 7.134994687624526e-22
0.09375 7.470832706864724e-22
0.0947265625 6.593001599334716e-22
0.095703125 6.073244480712631e-22
0.0966796875 5.257168201840831e-22
0.09765625 4.391751268187065e-22
0.0986328125 3.398707013604418e-22
0.099609375 2.267056968578017e-22
0.1005859375 1.330329755377358e-22
0.1015625 -5.186165617999602e-24
0.1025390625 -8.958807663054723e-23
0.103515625 -2.048215932247251e-22
0.1044921875 -3.302856821703396e-22
0.10546875 -4.712771416797201e-22
0.1064453125 -5.853949063070762e-22
0.107421875 -6.703697241744878e-22
0.1083984375 -8.25673612038857e-22
0.109375 -9.042919611461303e-22
0.1103515625 -9.657918969115978e-22
0.111328125 -1.018629072209515e-21
0.1123046875 -1.074251183471928e-21
0.11328125 -1.114953059805904e-21
0.1142578125 -1.088326396426419e-21
0.115234375 -1.070253048715881e-21
0.1162109375 -1.042312250935203e-21
0.1171875 -1.010090046647195e-21
0.1181640625 -9.360744382156237e-22
0.119140625 -8.29770944275291e-22
0.1201171875 -6.882441706366614e-22
0.12109375 -5.489379920393586e-22
0.1220703125 -4.058960527190443e-22
0.123046875 -2.507357701213429e-22
0.1240234375 -8.070828428363547e-23
0.125 1.167998481605629e-22
0.1259765625 2.762890491395013e-22
0.126953125 4.674478828928785e-22
0.1279296875 5.906873002011479e-22
0.12890625 7.805374419115559e-22
0.1298828125 1.007777111492652e-21
0.130859375 1.106344548955477e-21
0.1318359375 1.281519803854271e-21
0.1328125 1.403800419692265e-21
0.1337890625 1.448760099368396e-21
0.134765625 1.475299363952542e-21
0.1357421875 1.545449443480269e-21
0.13671875 1.579366558249364e-21
0.1376953125 1.474314052883663e-21
0.138671875 1.408073510742469e-21
0.1396484375 1.33680465782207e-21
0.140625 1.249783290159658e-21
0.1416015625 1.060999185987567e-21
0.142578125 9.135664594022914e-22
0.1435546875 8.052620046962068e-22
0.14453125 5.08977709447873e-22
0.1455078125 3.033035165869954e-22
0.146484375 1.001269692697425e-22
0.1474609375 -1.925605036899999e-22
0.1484375 -4.010927502782939e-22
0.1494140625 -5.973740242296946e-22
0.150390625 -8.422714198711268e-22
0.1513671875 -1.117631533078186e-21
0.15234375 -1.288328872356295e-21
0.1533203125 -1.44004856019648e-21
0.154296875 -1.63949653564746e-21
0.1552734375 -1.742888755678651e-21
0.15625 -1.849585216243491e-21
0.1572265625 -1.908768719603229e-21
0.158203125 -1.924337741151806e-21
0.1591796875 -1.926305055445922e-21
0.16015625 -1.87012660380384e-21
0.1611328125 -1.856079453150735e-21
0.162109375 -1.624929168861114e-21
0.1630859375 -1.467799704130814e-21
0.1640625 -1.421052887987334e-21
0.1650390625 -1.134844749537366e-21
