domain units: Hz
measurement data type: Positive<double>
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (Hz): [0, 512.25)
support bounds (Hz): [20, 512)support indexes: [80, 2048)
---------------
domainValue measuredValue
0 1
0.25 1
0.5 1
0.75 1
1 1
1.25 1
1.5 1
1.75 1
2 1
2.25 1
2.5 1
2.75 1
3 1
3.25 1
3.5 1
3.75 1
4 1
4.25 1
4.5 1
4.75 1
5 1
5.25 1
5.5 1
5.75 1
6 1
6.25 1
6.5 1
6.75 1
7 1
7.25 1
7.5 1
7.75 1
8 1
8.25 1
8.5 1
8.75 1
9 1
9.25 1
9.5 1
9.75 1
10 1
10.25 1
10.5 1
10.75 1
11 1
11.25 1
11.5 1
11.75 1
12 1
12.25 1
12.5 1
12.75 1
13 1
13.25 1
13.5 1
13.75 1
14 1
14.25 1
14.5 1
14.75 1
15 1
15.25 1
15.5 1
15.75 1
16 1
16.25 1
16.5 1
16.75 1
17 1
17.25 1
17.5 1
17.75 1
18 1
18.25 1
18.5 1
18.75 1
19 1
19.25 1
19.5 1
19.75 1
20 3.03536625e-43
20.25 2.591015e-43
20.5 2.15767125e-43
20.75 1.75805875e-43
21 1.40865375e-43
21.25 1.12504875e-43
21.5 9.580812499999999e-44
21.75 2.450805e-43
22 2.51475875e-41
22.25 2.75709e-43
22.5 3.88934e-44
22.75 2.27849125e-44
23 1.66474875e-44
23.25 1.267805e-44
23.5 9.7916875e-45
23.75 7.723905e-45
24 6.181148750000001e-45
24.25 5.052705e-45
24.5 4.22471e-45
24.75 3.602935e-45
25 3.12914e-45
25.25 2.7606075e-45
25.5 2.474465e-45
25.75 2.249135e-45
26 2.06794875e-45
26.25 1.91911125e-45
26.5 1.79641e-45
26.75 1.69393875e-45
27 1.60650875e-45
27.25 1.53278125e-45
27.5 1.46769875e-45
27.75 1.40602e-45
28 1.34918875e-45
28.25 1.29378375e-45
28.5 1.24159e-45
28.75 1.19284375e-45
29 1.14664375e-45
29.25 1.102535e-45
29.5 1.05958125e-45
29.75 1.019585e-45
30 9.8151375e-46
30.25 9.4562125e-46
30.5 9.108925e-46
30.75 8.774937500000001e-46
31 8.45336625e-46
31.25 8.14827125e-46
31.5 7.858532499999999e-46
31.75 7.577044999999999e-46
32 7.310519999999999e-46
32.25 7.055886250000001e-46
32.5 6.81118375e-46
32.75 6.57552e-46
33 6.3511875e-46
33.25 6.13622625e-46
33.5 5.92998e-46
33.75 5.73117125e-46
34 5.540745e-46
34.25 5.35766e-46
34.5 5.1849175e-46
34.75 5.01783625e-46
35 4.86065125e-46
35.25 4.710545e-46
35.5 4.56974e-46
35.75 4.429547499999999e-46
36 4.2873775e-46
36.25 4.153065e-46
36.5 4.026785e-46
36.75 3.90319125e-46
37 3.785608749999999e-46
37.25 3.67219125e-46
37.5 3.563245e-46
37.75 3.45687125e-46
38 3.35535375e-46
38.25 3.25668e-46
38.5 3.16383375e-46
38.75 3.07456625e-46
39 2.9899625e-46
39.25 2.908815e-46
39.5 2.8290325e-46
39.75 2.75344125e-46
40 2.68107e-46
