# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
2.188410567615376092e-07 2.144552646037153127e-06 2.975877161230874726e-06 3.513299050169066547e-06 4.827894157024610390e-06
-2.577468302846236940e-07 1.209680036506753384e-06 2.048455344956668404e-06 2.724214103060231369e-06 4.314682864331782859e-06
-1.505979481189974309e-06 1.772343799520229548e-07 9.755042986454288822e-07 1.762066945184249873e-06 3.242255684734195490e-06
-2.557544792365489564e-06 -8.851636957499008500e-07 -1.925289603811167871e-07 7.042320174708238573e-07 2.340958148621015253e-06
-3.631073410047203615e-06 -1.930511113183349130e-06 -1.274202957012853772e-06 -2.651372461927010736e-07 1.352082140833645117e-06
-4.334823687643080584e-06 -2.877831771496878368e-06 -2.127866115584597997e-06 -1.139190079464399307e-06 6.558354836825355501e-07
-5.726362886515335030e-06 -3.751901845345455024e-06 -2.962373486407548595e-06 -1.999406101430631841e-06 -4.151565640052195723e-07
-5.791073567432381371e-06 -4.318367829431942018e-06 -3.581002615960125353e-06 -2.624510943714181355e-06 -1.108403488207282514e-06
-5.873269496346457275e-06 -4.690026247958522826e-06 -3.851696938583871262e-06 -3.056809483591722279e-06 -1.531331057553220469e-06
-5.887459846778039774e-06 -4.833123122930737761e-06 -4.022495405735197687e-06 -3.242240313069769757e-06 -1.797570233819008088e-06
-6.562323225059314873e-06 -4.698829359494241289e-06 -3.991408546194697191e-06 -3.120889300177375678e-06 -1.918132371079543708e-06
-5.482319558813401521e-06 -4.395787486091570233e-06 -3.695368471028017197e-06 -2.835526909555591665e-06 -1.275432391804931781e-06
-5.203742288127846835e-06 -3.862423211550998413e-06 -3.200343486935734312e-06 -2.386235063522432078e-06 -6.768919428858344929e-07
-4.589397199548387082e-06 -3.194843907310612512e-06 -2.579118328182087942e-06 -1.683025012742841027e-06 -7.027989493017918760e-08
-3.890662003009234558e-06 -2.494762913234859220e-06 -1.819378620120719401e-06 -7.962194823976723791e-07 9.164441569992431869e-07
-3.101497650213669591e-06 -1.691611947202357084e-06 -8.936182668177229476e-07 1.008855786995344005e-07 2.003580924148307014e-06
-2.431140517844740260e-06 -9.149627443184194675e-07 1.391859077033438595e-07 8.707793372499221498e-07 2.541164998309960057e-06
-1.703972106957216628e-06 1.170370384912250415e-07 1.015120829312731224e-06 1.659078049104529604e-06 3.343338630375407099e-06
-8.994566937726973921e-07 8.743669428876761143e-07 1.811361029325722830e-06 2.516624512673498503e-06 4.379853243514743714e-06
-4.474004986553933470e-08 1.607071292128629237e-06 2.477569628213931879e-06 3.260403599999756566e-06 5.039057498902343718e-06
8.229865494700993828e-07 2.157085020887292359e-06 3.013507055146652215e-06 3.782272174410203919e-06 5.402740418833448906e-06
1.352504011907534617e-06 2.669766980151422717e-06 3.393140158227778964e-06 4.176531707361079646e-06 6.021238283297555166e-06
1.428793571932588842e-06 2.871985513423885416e-06 3.620175198107634706e-06 4.355422304146646245e-06 6.177687594275565069e-06
1.790609211587276862e-06 2.862536713397819820e-06 3.618854385828384889e-06 4.370542652740365291e-06 5.932215722205050368e-06
1.221332459309470864e-06 2.681132154291779986e-06 3.519218943626182567e-06 4.170774517155758074e-06 5.603551046230781428e-06
7.314885718363040560e-07 2.300628299500985576e-06 3.140757479333993649e-06 3.777262388325558983e-06 4.952904750436451639e-06
1.774458961273135315e-07 1.778493624665150571e-06 2.613895814628655078e-06 3.303710468580435770e-06 4.576292656637705018e-06
-5.506828027757387713e-07 1.123073736802228197e-06 1.936836472741787394e-06 2.725289157626906375e-06 4.099681588018231985e-06
-1.379606331346174407e-06 3.401020384587301901e-07 1.060859473616189078e-06 1.988470917799733736e-06 3.293587813144788690e-06
-1.849530064852811657e-06 -4.442222428033773158e-07 2.174618847456674505e-07 1.194114220802269002e-06 2.452408340793974580e-06
-2.705848630706059566e-06 -1.284814850034785571e-06 -6.073528349105016611e-07 2.349325511934477561e-07 1.736999747415927149e-06
-3.391302757751742782e-06 -2.095237686971816131e-06 -1.467179323993337738e-06 -6.734756662837614580e-07 8.637531145113950388e-07
-4.131454449301949033e-06 -2.803958032564970953e-06 -2.137947556247515341e-06 -1.430052956187473061e-06 -1.511081100393166829e-07
-4.428022861902307376e-06 -3.370414921113204868e-06 -2.724008811154145147e-06 -2.060976487326105764e-06 -8.452388556630454194e-07
