# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-2.621483191498661736e-04 -5.377928102287883756e-05 1.041963779248667517e-04 2.243474717464451695e-04 4.106719193383207337e-04
-5.915449939531802325e-04 -4.311160954321338720e-04 -3.024926017882302131e-04 -1.853553495184369555e-04 -1.084270602503037091e-05
-5.381423062572340084e-04 -3.533970803775646620e-04 -1.907389146595277261e-04 -6.606599092226116880e-05 8.908162236866229932e-05
-2.397613205992239099e-04 -4.157641827829408409e-05 1.359598358582591844e-04 2.321205366044261430e-04 4.346770791059079262e-04
-4.744334730466850101e-04 -3.256799583231606240e-04 -1.997640677381161216e-04 -6.627657227521762512e-05 1.196844511884144577e-04
-6.278532403724219934e-04 -4.822360494122010380e-04 -3.471722332460088541e-04 -2.392119366108557646e-04 -6.675229711954096669e-05
-3.297630778305561347e-04 -1.129659519013093090e-04 5.233280564692282475e-05 1.650254298362338937e-04 3.726960000533101640e-04
-3.278435520133159424e-04 -1.788941985596113242e-04 -2.176738281046486636e-05 1.019045782624122300e-04 2.635946115449351048e-04
-6.564547772839225562e-04 -5.120232107282654717e-04 -3.972748736669574421e-04 -2.576034005423569521e-04 -2.831020565388090630e-05
-4.464863433834381193e-04 -2.755137707021836752e-04 -1.369625204997014392e-04 -9.077077696115960792e-06 2.207557392208074469e-04
-2.343660234364443123e-04 -6.255267288685792079e-05 8.268127993192524541e-05 1.973987966092157083e-04 3.490373017887310621e-04
-5.972703011140010352e-04 -4.290066747054553024e-04 -3.126142557847874605e-04 -1.667022536300836956e-04 8.856334631338602106e-05
-5.797615423137797474e-04 -4.280523160669911023e-04 -3.001242128404580148e-04 -1.445347128457882932e-04 1.037657965719899491e-04
-1.904520196766611509e-04 -4.901920355875188516e-05 9.022643223510049449e-05 2.184782922157426288e-04 4.134300685338324760e-04
-4.598050776616618572e-04 -2.572780476226964211e-04 -1.371756071821168821e-04 1.974670675993657262e-05 2.318410424292373883e-04
-7.019882667873271085e-04 -4.994276662992195616e-04 -3.828705565563744447e-04 -2.432482606913927343e-04 5.146307822093572202e-05
-2.966512276184637260e-04 -1.356217722151012656e-04 -1.196042174514038838e-06 1.134869346872260319e-04 3.927527519460673796e-04
-2.463107799905594098e-04 -7.024361857776867672e-05 7.763595774030034057e-05 1.721226951715493431e-04 4.121341419670479077e-04
-6.997201624792543642e-04 -4.478103880971392612e-04 -3.270753408385965177e-04 -1.752470631239777359e-04 1.642510026371382529e-04
-4.734094481763798448e-04 -2.790216008828524377e-04 -1.407520929772489030e-04 2.067071201076124660e-05 3.046685308522109484e-04
-1.165284262439694887e-04 3.948191822861717550e-05 1.707211161840515093e-04 2.866941521388027933e-04 5.360640340160602009e-04
-4.906295422601087992e-04 -3.048787895025737403e-04 -1.620150283107668707e-04 5.040632473149414772e-05 3.103162116509744581e-04
-5.946226323282785510e-04 -3.766055767459773281e-04 -2.450803701330284525e-04 -7.079125315766161613e-05 2.151959050917958923e-04
-1.493683414731081010e-04 3.939781129544755946e-05 1.667368408917870666e-04 3.244357099199902321e-04 5.058531197213864605e-04
-2.605675906377700438e-04 -7.650527885539435574e-05 6.450336373438138901e-05 2.658572205431653131e-04 4.734666154499938889e-04
-6.124908941599993377e-04 -3.881152098768354949e-04 -2.638799891278789536e-04 -3.569677318591106671e-05 2.372326038680896553e-04
-2.595130629461479756e-04 -6.110214321831211354e-05 7.962655507062033977e-05 2.650600886448403423e-04 4.282681827827584248e-04
-2.642993469767908915e-05 1.123671213674085718e-04 2.435500247421996467e-04 4.113104273857498007e-04 5.733523754763074440e-04
-4.989399821398004782e-04 -2.710281632051345004e-04 -1.352017667782182261e-04 7.845065993559911072e-05 2.943528081219931006e-04
-3.823556819267344485e-04 -1.867555014214617348e-04 -2.506518155303190737e-05 1.543881367166001853e-04 3.155483168733419323e-04
1.806813841343848034e-05 2.070790017169949144e-04 3.413399971450699301e-04 4.837319846837992280e-04 6.393590504152796327e-04
-2.722469982159002062e-04 -5.923001507931297503e-05 7.185118728201812755e-05 2.837405477124722636e-04 4.598106660291818967e-04
-3.981880480043401981e-04 -2.335109099704308537e-04 -1.011108839085799008e-04 8.765640862545591645e-05 2.649074055505196428e-04
-7.325142294880432337e-05 1.658204076445615337e-04 3.342438234438559804e-04 4.465792470483353018e-04 6.026777430773142289e-04
-2.075298095138878327e-05 1.606116972632275815e-04 3.263616864254156413e-04 4.873906614406379187e-04 6.058740265445613149e-04
-3.435086606651874524e-04 -1.884267420638152907e-04 -4.960017977552320283e-05 1.259180706652238721e-04 3.028869374200318307e-04
-1.841547516372213074e-04 4.781681662548299916e-05 2.107611091351713694e-04 3.468412667754676784e-04 5.084423131010817453e-04
7.262151187883588951e-05 3.099273893199757149e-04 4.417298659869469996e-04 5.998123068422374056e-04 7.322806620688910055e-04
-2.626659578872448178e-04 -5.107356922770052877e-05 8.472178049038139457e-05 2.549384856093284829e-04 4.172449383440583704e-04
-2.990634303781625441e-04 -1.040919190925630868e-04 3.878014243664084238e-05 1.920859312482166845e-04 3.326988377283888608e-04
-4.284713963840147341e-05 3.066750955772051812e-04 4.442493339141741649e-04 5.923403483597854732e-04 7.695139470157814302e-04
-1.618798798455836781e-04 1.159499478437333892e-04 2.796298289035498998e-04 4.132506446094771132e-04 5.865695964421693094e-04
-4.101029617472674079e-04 -1.534784799203646488e-04 -3.258185392878908094e-05 1.166248610279876783e-04 2.642869087421929560e-04
-1.584499423584715164e-04 1.282412353871959757e-04 3.093742295994648299e-04 4.563520071033570031e-04 6.469107328600356760e-04
-1.113463960801400004e-04 2.374512781320053966e-04 4.172458589172812734e-04 5.456613704417416456e-04 7.408102459322958534e-04
-3.861303298799831840e-04 -1.598204743036915620e-04 -6.844185586577094836e-07 1.265883160541287115e-04 3.126185606247174607e-04
-3.266705927315318673e-04 -9.714957187649854995e-05 1.150014389161165516e-04 2.548351072130422860e-04 4.323502972041707985e-04
-1.198596858888393147e-04 2.018682774976733444e-04 4.251158101526877724e-04 5.591735859419160208e-04 7.863421471868975313e-04
-3.448238058888579405e-04 -1.233125490800496987e-04 8.719698096278422528e-05 2.399150307868443968e-04 4.386314819719217733e-04
-5.086805074261143257e-04 -2.746035233940536291e-04 -9.665617725586370492e-05 4.706581594499518101e-05 2.256311296401034027e-04
-2.522337913199642354e-04 3.804651458888056175e-05 2.809356057494356981e-04 4.514774510079400203e-04 6.710457633366821630e-04
-2.748691822783910711e-04 -6.929921359547373447e-05 1.715117361412069703e-04 3.352844823250088549e-04 5.749785627024643457e-04
-5.917207215151196837e-04 -3.838122528499498306e-04 -2.128333378106673514e-04 -6.484552592756350983e-05 1.417411046685072569e-04
-4.542237629647760656e-04 -1.924087665488518782e-04 2.357942648236343479e-05 1.907143682859423824e-04 4.089293374596349303e-04
-2.670819245716810563e-04 -6.285011473079911686e-05 1.958809912724599508e-04 3.571165819954083965e-04 5.859605009441106903e-04
-5.734048342790152436e-04 -4.066215431229216592e-04 -2.435349559296749928e-04 -8.097437289974519520e-05 1.472548118763821053e-04
-6.327084902529338988e-04 -4.599476670453202850e-04 -2.527748590560596211e-04 -9.230180335389203165e-05 1.234638613547103564e-04
-3.479811532115952943e-04 -1.501586785934796477e-04 1.003429616960109484e-04 2.512216884676406843e-04 4.633036368061926088e-04
-5.279295037699002595e-04 -3.417661008866674220e-04 -1.922177203285230186e-04 4.417506267494804063e-06 2.203166722099129731e-04
-7.503173646434308126e-04 -6.258484027301107911e-04 -4.679561640911801546e-04 -2.859776639744377987e-04 -9.553281991707602595e-05
-4.952660448431724267e-04 -3.155906257527770474e-04 -1.222513974124667916e-04 5.707088268982443198e-05 2.602108989242891491e-04
-4.515808806606372251e-04 -2.778444508208524014e-04 -8.723353648976145272e-05 4.878022363153564328e-05 2.490695911603486292e-04
-8.125410845494918230e-04 -7.010906764607575514e-04 -5.298056929832421335e-04 -3.559565046480897468e-04 -8.287204512236564418e-05
-7.112951111901150841e-04 -5.354478178615478933e-04 -3.612799159856721265e-04 -2.127305205163120504e-04 2.623035123291532218e-05
-4.122343804115009488e-04 -2.524784932465092739e-04 -6.917288133055787152e-05 7.284515374856291060e-05 2.435994274763038359e-04
-7.567431201697556991e-04 -6.109129145848836515e-04 -4.246004594531267696e-04 -2.636712120931559620e-04 4.705603281266831808e-05
-8.899831264336952258e-04 -6.912588852728196107e-04 -5.435497411763366097e-04 -3.622053873284401468e-04 -3.348760074527429959e-05
-4.875185167596982820e-04 -2.762450013875034430e-04 -1.408058619760496513e-04 6.502642460557366820e-06 2.546726787084631870e-04
-5.671524304872012454e-04 -4.199578647988670569e-04 -2.550031132385904451e-04 -6.437087891576671352e-05 1.997238851465529352e-04
-9.292230988268909697e-04 -7.234691558958639482e-04 -5.844008854046314500e-04 -3.882964585525776335e-04 -4.047009335007195933e-05
-6.231301516492865041e-04 -4.129986897787347598e-04 -2.588683821930238540e-04 -5.184428838271537240e-05 2.152171287987184587e-04
-4.179858422226569083e-04 -2.285562251833697927e-04 -9.894670861917287267e-05 8.932069666840519381e-05 3.946171598665774343e-04
-8.484449963767643627e-04 -6.242663391511360516e-04 -4.440619429470374986e-04 -2.142802764236877470e-04 1.538036919921705601e-04
-7.508509602875118984e-04 -5.305970816666944053e-04 -3.573264074876682152e-04 -1.221409328316421644e-04 1.903769861930579570e-04
-3.265480175235301714e-04 -1.115968142356752558e-04 5.600996463231277406e-05 2.349618315042124644e-04 5.025780411318679294e-04
-6.074136041917032941e-04 -3.816305496499970023e-04 -1.785022154832350215e-04 4.960299930085205214e-05 3.699640289769204967e-04
-7.806768212218827101e-04 -5.357292094686121400e-04 -3.533055345280218269e-04 -6.467612218879230303e-05 2.248173669139730128e-04
-3.558726005074219702e-04 -9.415372686207454877e-05 9.864516697787633812e-05 3.010082720033332299e-04 5.253169483733758803e-04
-3.030609855085351998e-04 -7.132419399149991682e-05 1.248489789509657228e-04 3.442317005007005954e-04 6.215397213550631931e-04
-6.693271469973553116e-04 -4.090912424259076263e-04 -2.248376093995049546e-04 8.936667400877537138e-05 3.426551598219772449e-04
-4.076622324932232828e-04 -1.253761839605984502e-04 9.374833491669946027e-05 2.904088559212042757e-04 4.901023080564437077e-04
-6.209700821246286705e-05 1.744222952687691022e-04 3.800152858173615721e-04 5.657592110223635257e-04 7.647520247310382342e-04
-4.033829220311818545e-04 -1.417752310771552848e-04 6.388329829698068812e-05 3.112210714131257187e-04 5.329761453490406385e-04
-3.916595681358066143e-04 -1.228972809435772799e-04 6.571000168827004044e-05 2.865542862868789226e-04 5.001466162787470337e-04
6.441680535546347153e-05 3.063072493097857810e-04 5.107485915466969308e-04 7.000716466128723220e-04 8.316513124649027849e-04
-7.242758109673852051e-05 1.851267277447126661e-04 3.732615943029248548e-04 5.621586747992933682e-04 7.603224120385164951e-04
-2.790121425954131566e-04 -6.329517605375392826e-05 9.938038374389885417e-05 2.983814615077300504e-04 5.318091412686177383e-04
1.439880439456423634e-05 3.066236266794436982e-04 4.889841224324258844e-04 6.795947577915743354e-04 8.185961384864770540e-04
1.423107021828892921e-04 4.516765289969405751e-04 5.932859751967532475e-04 7.782633518319027627e-04 9.445076886192941027e-04
-1.459346499337535875e-04 7.311093162294591186e-05 2.097933490695559232e-04 4.074202205578807416e-04 6.028396764797754959e-04
-7.855534937481280819e-05 1.828548538843526375e-04 3.454482626553859832e-04 5.465160872525082073e-04 7.282535502126148306e-04
1.476972252919769879e-04 5.273410782951949444e-04 6.831231535785252211e-04 8.575887292572847162e-04 1.058471489473403280e-03
-9.585026189865351973e-05 2.331984073925476471e-04 4.022461834950658054e-04 5.620352038994080000e-04 7.913486562275209857e-04
-2.316307210383141823e-04 5.197228518540618401e-05 2.287650784859857728e-04 3.977845075392042254e-04 5.847688629487636036e-04
4.016802825892897536e-05 4.079503399867374621e-04 6.080832523387288361e-04 7.965540120483942822e-04 1.017003821965943924e-03
-9.277684702307218583e-05 3.089141985888774157e-04 5.358137158417383174e-04 7.210110228369087139e-04 9.211980950497981359e-04
