injected_SNR residual_SNR_maxL residual_SNR_rd residual_SNR_med
5.0 7.088442216162921 5.6338077569069585 4.999999299869189
30.0 3.1857333683588673 3.4931391520788226 3.3647373712728745
40.0 3.5073335920248923 6.482218938757805 3.580950458455992
50.0 3.3837072304056948 3.7072739255694507 3.433344047682124
5.0 6.877202938009924 6.273066441806458 4.999999903045927
30.0 2.7495732215919375 3.683184402901942 3.0574364771883626
40.0 2.8639196516488177 3.154485787031748 3.029038589172857
50.0 2.9967393790037704 2.4410538356606284 2.8048282515989142
5.0 6.933775850085715 5.019648608649746 4.9999996240473905
30.0 1.3340642759659167 2.1026319591602536 1.2618285184795126
40.0 1.2688231805881376 2.382458767175303 1.2452081141242533
50.0 1.4497901308186278 2.5702476675549275 1.55859052046123
5.0 6.973406183882207 5.692004053523351 5.000000085854408
30.0 2.669291469874245 5.643944527124913 2.8467942214624786
40.0 2.8574026596659787 2.700009604992688 3.08344530708279
50.0 2.850272471055322 3.1306951301686015 2.8577740164273386
5.0 7.133870577985271 5.2153446806792445 4.999999792967554
30.0 2.744020368570081 4.236679992322087 2.8837346934577965
40.0 2.810276432518247 1.759596078146023 2.886074029158588
50.0 3.0324840108817304 3.240602790539922 3.024791167471456
5.0 0.998936461080453 5.885483629080057 4.999992979727565
30.0 1.0489042129175024 3.755624987010265 1.0072066185536608
40.0 1.2243477487855434 2.141711034093181 1.2132769908272487
50.0 1.453035589857059 1.6386584962517996 1.1104459970844738
5.0 6.752356435724832 5.6858581036809115 4.999999933531499
30.0 3.1202085619245175 3.9551787193795467 3.071905571446771
40.0 3.131253964290993 2.7255573856860766 3.089474815640588
50.0 2.863600822726448 4.205145876957759 2.991125237945934
5.0 6.9458122085152345 5.311260345639611 5.000000011666988
30.0 1.1155272182873386 2.812710551225558 1.4015075564567763
40.0 1.2008723950495064 3.211183492226743 1.43177670100548
50.0 1.3695297829472044 1.1181205909130545 1.54819480808783
5.0 7.044210248641803 5.1592988789855285 5.000000142559991
30.0 2.479869739235566 4.432583047205998 2.8656608963867556
40.0 2.557326866894952 3.449375632532925 2.7153358326373183
50.0 2.782706177625181 2.641602131294959 2.7535591720625114
5.0 7.19774416073992 5.210989079515816 5.00000001605127
30.0 2.9616295570075963 3.5560752510852685 3.1695477653731845
40.0 3.047437663425287 4.625359368747879 3.113696261987742
50.0 2.9334768891991385 2.578792163231332 2.9721456296567683
5.0 6.833521914006203 6.473783782254185 5.000000124279091
30.0 2.8517475886124544 4.088912521624697 2.8647991161184585
40.0 3.0142053543528853 3.511981259475441 2.9863351555636397
50.0 2.761985234126123 1.7974417483176968 2.8346325980776617
5.0 6.793220620421554 6.450923985639019 5.000000185556579
30.0 2.7877241664804706 3.5367722863913147 2.8355077167723413
40.0 2.522943154161529 1.7213795085107917 2.7095335637392237
50.0 2.6262938776981275 3.2536309417797704 2.6471603993015367
5.0 6.884257039926765 5.030944357879743 4.999999814626994
30.0 1.7338835996605229 1.8335693042012418 1.7704183221150764
40.0 1.4778849192717474 1.8417137646624089 1.661345952357831
50.0 1.896567208959408 2.56344700714452 1.6687749908814613
5.0 7.326474236772767 5.42279022254949 5.000000080420362
30.0 2.875625590247844 5.23381852375877 3.1674593236242727
40.0 2.7634210049460886 3.673274548146456 3.2893514137520077
50.0 3.0625501587833774 3.1797450485606804 3.0725011091365606
5.0 0.970283298796841 7.330950986692277 4.999999361874139
30.0 0.9732069600270212 3.480136374866607 1.0025889558725216
40.0 0.8373387024466089 2.9091793014104113 1.0440418079180127
50.0 1.092903105264444 2.075541840438074 1.1773175205582607
5.0 6.94998707315945 5.104093112503923 4.9999998570098985
30.0 1.5718888989555804 2.286232703982941 1.6408893955921309
40.0 1.5949915475896856 1.5038260335097482 1.7522194471491161
