injected_SNR residual_SNR_maxL residual_SNR_rd residual_SNR_med
5.0 6.750475075052985 5.305954433314615 4.999759094014126
10.0 7.931456749378028 5.881490544029548 4.774669025372349
20.0 5.949066899650755 3.593373939064626 3.2766822731478507
30.0 6.38765541337458 3.5093307697135603 3.231782076470459
40.0 6.204551800292837 2.9452564027561334 3.2619401897457534
50.0 6.275078475755997 4.979980100134425 3.2860188959635073
5.0 5.650662721704887 3.993525968967388 0.9446995000125665
10.0 7.362684116083418 4.958533391940316 1.4624024228186043
20.0 6.35455490899627 4.210815595662674 1.6135673252817078
30.0 6.455044076883273 6.796110564797141 1.6984813265190877
40.0 7.29733646611587 5.0833401345878055 1.6767647830990207
50.0 6.342635584192311 1.911451061724916 1.8168436661526097
5.0 6.476735382271857 7.098297572627735 4.99534636473636
10.0 6.365673807978052 5.987349676946427 4.0716648319664985
20.0 6.052053761614211 6.328904129674511 5.0418057372270395
30.0 7.868309100921574 6.788330572830734 4.991709839218776
40.0 4.300207520279362 4.773598153280645 5.868743363999885
50.0 4.42206237840724 5.044211933455978 3.8906542644887425
5.0 6.521004695147776 7.304208922653743 4.998024640738581
10.0 7.00994520491264 5.126328423598892 1.9809733554715985
20.0 7.127749316083413 5.6950898975022985 2.3645009497086082
30.0 6.206926048803529 4.293734502152816 2.985067996892726
40.0 5.953792010524394 4.891930911547596 3.3915728353075583
50.0 8.012230430600912 5.303244394892276 3.997560161940816
5.0 9.019029313972716 7.9012632353650245 4.999871132788723
10.0 6.272085561271048 6.589655218569243 4.823400228514413
20.0 5.789908966051734 4.693262376610275 2.7490435979393504
30.0 6.1836661240387985 5.185208112123164 3.171886939512989
40.0 6.3495882694233785 3.8239222763027256 3.337331977457665
50.0 6.346718303877545 4.723392250124577 3.7338874713631496
5.0 8.695947275663295 5.943716347146485 4.999897753431422
10.0 6.9070414131458655 6.897667013967264 5.659973211484747
20.0 4.917289334982432 5.331069673809726 4.200680914300923
30.0 4.5984655637642105 6.071094148323222 4.304231810950472
40.0 5.401798032797324 4.171102570435476 4.410187789409675
50.0 4.502278098243502 6.025946720839631 4.619025567672193
5.0 7.584643652447991 7.017529968029516 4.999669322198581
10.0 6.439183133258935 7.8431761589150275 4.528075276917128
20.0 6.699500604398675 6.9245754245708255 5.245904356537487
30.0 4.979666723677423 6.9528866485277465 6.3159674917389
40.0 3.6747955185517323 5.098944483896096 4.504089803387134
50.0 4.434537219368759 6.882574347293614 4.455538339393207
5.0 6.645107347517124 8.476369260482617 3.0753038573570364
10.0 7.443643142088501 5.380506102567274 3.789315462038586
20.0 5.206542789874269 3.8545545924536566 1.8871437207382635
30.0 5.589006866101085 3.910561644824329 1.9658970034854668
40.0 5.787091992489318 5.802411273470758 2.1438626106190775
50.0 5.360211746869444 5.321834973497758 2.1396016179714756
5.0 6.680003672783705 5.502939788126475 4.999982899198356
10.0 8.16737435444037 6.852400439969196 4.804807289504161
20.0 7.711638531133922 7.286185037997309 5.607978403786053
30.0 3.811090485256949 4.986610305956843 4.221004380262044
40.0 2.5305974352625196 4.2923042493134735 3.5133765366239125
50.0 3.896798444040799 7.404635434683571 3.542888210533989
5.0 5.081812661222384 6.476402948730769 1.7889158339559972
10.0 8.007367604134158 6.524814325837492 3.349256645364477
20.0 6.871356517343675 6.854060937775205 5.967253014177008
30.0 6.185876488725081 5.594107619827199 3.2900517316487887
40.0 6.826972639244017 5.389269780334248 3.6700648455516607
50.0 6.181455409471224 6.601689226131564 3.9122415086161473
5.0 6.508935395883137 8.056502781366932 4.999603007283147
10.0 7.59264250779806 6.670202852012866 4.32330886731102
20.0 8.132190965251704 6.937671854262793 6.383961674536513
30.0 3.8053617919567304 4.828017634195879 3.918641484201458
40.0 4.017787145986255 4.248179035873628 4.169616688185654
50.0 3.8883760170074457 4.6049302512447765 3.9499361585842965
5.0 7.382001183909413 4.666208101039759 1.4076077854688667
10.0 6.343299284362743 6.558686281272603 1.668559289663323
20.0 6.1392470427008865 5.6027585270916145 2.088903729014647
30.0 6.584693489344622 6.596524881264691 2.2791550185818035
